date,forward_pe,source
2021-06-01,28.09,import
2021-07-01,28.87,import
2021-08-01,30.07,import
2021-09-01,27.03,import
2021-10-01,29.16,import
2021-11-01,29.69,import
2021-12-01,28.76,import
2022-01-01,26.31,import
2022-02-01,25.09,import
2022-03-01,26.53,import
2022-04-01,22.98,import
2022-05-01,22.6,import
2022-06-01,22.09,import
2022-07-01,24.86,import
2022-08-01,23.56,import
2022-09-01,22.25,import
2022-10-01,23.14,import
2022-11-01,24.4,import
2022-12-01,22.19,import
2023-01-01,26.31,import
2023-02-01,26.18,import
2023-03-01,28.55,import
2023-04-01,28.69,import
2023-05-01,30.87,import
2023-06-01,30.26,import
2023-07-01,31.41,import
2023-08-01,30.9,import
2023-09-01,29.33,import
2023-10-01,27.44,import
2023-11-01,30.36,import
2023-12-01,32.04,import
2024-01-01,28.25,import
2024-02-01,29.74,import
2024-03-01,30.09,import
2024-04-01,29.85,import
2024-05-01,31.73,import
2024-06-01,33.69,import
2024-07-01,32.66,import
2024-08-01,33.02,import
2024-09-01,35.02,import
2024-10-01,34.72,import
2024-11-01,36.54,import
2024-12-01,34.94,import
2025-01-01,35.71,import
2025-02-01,34.72,import
2025-03-01,31.8505,import
2025-04-01,33.9501,import
2025-05-01,31.7447,import
2025-06-01,33.734,import
2025-07-01,34.5516,import
2025-08-01,32.8411,import
2025-09-01,32.6405,import
2025-10-01,35.3029,import
2025-11-01,34.8858,import
2025-12-01,33.6218,import
2026-01-01,33.2849,import
2026-02-01,33.3465,import
2026-03-01,32.4258,import
2026-04-01,31.9623,import
2026-05-01,33.8101,import
2026-06-01,31.4916,import
2026-06-10,24.7,manual
2026-06-11,24.87,manual
